"","probeids","t_stat","p.values","p_adjusted"
"778","216321_s_at",18.2817868530848,6.35323101737611e-38,2.30751193256106e-36
"779","216401_x_at",1.76169972997613,0.0806708931025951,0.097173200110207
"780","216491_x_at",1.80623902259611,0.0736814144958023,0.0890341322755117
"781","216510_x_at",1.92355742652431,0.0569134266440541,0.0695406673519927
"782","216541_x_at",1.61893445451657,0.108616484582102,0.128708852860061
"783","216560_x_at",2.90151997841712,0.00450373075578413,0.00601676421213395
"784","216576_x_at",1.87030344008426,0.0639126505784797,0.077782407023571
"785","216598_s_at",15.0223324546615,2.43753626566047e-29,2.15714914608449e-28
"786","216627_s_at",-0.235790916307831,0.814032078960249,0.827545227681369
"787","216687_x_at",-3.53488538605826,0.000594794146483843,0.000839290173517754
"788","216693_x_at",14.2967619400288,1.26032138228175e-26,8.42599142477452e-26
"789","216733_s_at",0.627408160000448,0.531478248336746,0.562331166692162
"790","216829_at",1.50248646252374,0.135955397967578,0.158891384952948
"791","216853_x_at",2.10133467021515,0.0377684843579544,0.0468586301069921
"792","216950_s_at",14.9745831945862,5.5938778132668e-27,3.89283042368703e-26
"793","216992_s_at",-1.16417644357217,0.246661116042669,0.278699755469613
"794","217109_at",-9.71378025144247,1.52175243414371e-15,4.26703841881689e-15
"795","217110_s_at",-9.50750425709087,8.0710799612612e-16,2.31401187653387e-15
"796","217179_x_at",1.77140814039428,0.0791792038059344,0.0954514653755005
"797","217238_s_at",-4.39867324499459,2.55807721817299e-05,3.89305787378016e-05
"798","217258_x_at",2.27155098162267,0.0250233404102215,0.0315314684510692
"799","217281_x_at",1.3613165235865,0.176150601576616,0.202771857905112
"800","217320_at",-0.648371227308711,0.517997495131498,0.548826411796764
"801","217388_s_at",5.72956045047214,6.76869752918844e-08,1.18704191491266e-07
"802","217428_s_at",15.6479188398966,2.18347296074003e-28,1.72314283654278e-27
"803","217546_at",1.62875043209762,0.105795296124286,0.125462895713619
"804","217564_s_at",-5.32948736926793,5.07195064825648e-07,8.5051001560577e-07
"805","217590_s_at",-9.83953559253306,2.15108746749296e-17,6.93329455311942e-17
"806","217889_s_at",10.6537099446548,2.07860738061383e-19,7.85764913511055e-19
"807","217966_s_at",15.0223220936578,4.22387010623211e-27,2.95285165874035e-26
"808","217967_s_at",17.6917298498967,5.52433776700456e-36,1.24378840018882e-34
"809","218087_s_at",12.4097228129242,2.21167813029996e-21,9.59229240081937e-21
"810","218468_s_at",15.1279781757174,1.01118272430065e-29,9.55630093150799e-29
"811","218469_at",14.781400017913,3.64056503563658e-29,3.1668778804316e-28
"812","218502_s_at",17.4205349778254,1.05769708672764e-35,2.28075245039439e-34
"813","218625_at",0.702121298278407,0.483874162331524,0.518412416045881
"814","218651_s_at",13.6591398577808,2.001712979604e-26,1.30409471139307e-25
"815","218656_s_at",18.7050203825482,1.06147002460682e-38,5.07847064897825e-37
"816","218694_at",22.514159161759,4.98563810011302e-45,1.09043027589615e-42
"817","218718_at",15.894450955512,1.88909911125419e-32,2.31376859146413e-31
"818","218730_s_at",8.64852336226959,1.74191039852324e-12,3.93342893825822e-12
"819","218736_s_at",13.2549762575237,5.93347281719976e-23,2.91158553946565e-22
"820","218804_at",2.76420611578913,0.0066201582908882,0.00874500633593601
"821","218820_at",14.0980638305845,5.26210526526017e-23,2.62419646941802e-22
"822","218824_at",11.445059078046,7.42569952806407e-18,2.46076752759006e-17
"823","218854_at",14.0452178294272,6.76576269198844e-28,5.00404960455763e-27
"824","218934_s_at",8.98518847606552,4.97328396802082e-13,1.16960026959138e-12
"825","218963_s_at",1.84190114069507,0.06841732802319,0.0828794149235646
"826","218990_s_at",2.33539946354489,0.0219148724254904,0.0277975722315043
"827","219087_at",17.0585973507559,1.75242805221681e-34,3.04882653175448e-33
"828","219109_at",0.446369070068752,0.656077409533492,0.678227220793907
"829","219140_s_at",0.422750957093015,0.673177034503264,0.694497331418125
"830","219179_at",10.3195962244435,1.1966178006631e-18,4.19226968607599e-18
"831","219213_at",16.9047680553972,3.48736012541429e-30,3.58332104161696e-29
"832","219228_at",11.8985185976919,1.47776008264597e-21,6.46414481865993e-21
"833","219230_at",6.82811046456173,1.5829697880561e-09,3.00685700435966e-09
"834","219250_s_at",-0.727781174975206,0.468339829283494,0.503531094545666
"835","219288_at",5.02176866193806,1.75220892936056e-06,2.86912499556259e-06
"836","219312_s_at",2.40981500312128,0.0173410726713997,0.0222728039093229
"837","219386_s_at",14.2409617567408,1.52191588288374e-25,9.28308054460163e-25
"838","219410_at",12.094357019731,6.03513604607611e-23,2.94260932692437e-22
"839","219434_at",8.62348111720548,1.37104532036004e-13,3.34246876667392e-13
"840","219454_at",4.73245780475642,6.73815481403237e-06,1.07124766565769e-05
"841","219471_at",-0.527755665242376,0.598614564266036,0.624304426356472
"842","219529_at",1.05502478446884,0.293865604225416,0.328640058487298
"843","219574_at",10.7791376191309,2.33078065603646e-17,7.44973942461758e-17
"844","219584_at",11.0434520794164,7.65357860238081e-18,2.53080536506372e-17
"845","219607_s_at",13.9588851434135,1.41620820153144e-27,1.03248321740221e-26
"846","219614_s_at",0.697286797230818,0.487080453542134,0.52111822108526
"847","219631_at",11.1043648326134,1.71254629793424e-20,6.95466414360032e-20
"848","219685_at",5.15603830122132,1.62899728144066e-06,2.67883441233689e-06
"849","219727_at",-10.3382586344317,3.35302089466458e-18,1.15100336092634e-17
"850","219732_at",-2.10696930815107,0.0370281586107519,0.0460147003515106
"851","219759_at",-0.911997771470766,0.363649297477568,0.399961978763044
"852","219764_at",4.87057986251594,5.39287926991213e-06,8.60948713476066e-06
"853","219772_s_at",3.93198783549428,0.000181611577029132,0.000265312332472902
"854","219773_at",16.0984695293682,1.62201936061019e-26,1.06579898759408e-25
"855","219778_at",18.5656237374335,4.12647825677772e-33,5.74330746466063e-32
"856","219789_at",8.48545250843769,2.6890324506088e-12,5.98387889808441e-12
"857","219791_s_at",7.84359393122311,8.68213301681331e-11,1.76291056349352e-10
"858","219795_at",-4.37997746257209,2.85863862767633e-05,4.33324330591332e-05
"859","219836_at",6.26848580887831,2.59746611271478e-08,4.65113522639337e-08
"860","219872_at",7.34279437512912,3.78943488532723e-11,7.80837794002153e-11
"861","219890_at",10.3049685723368,9.63272426468866e-16,2.74631300730695e-15
"862","219892_at",12.8357107104148,1.16004965243429e-20,4.80009734561326e-20
"863","219908_at",7.21493763963631,2.22731735879186e-10,4.40002951781979e-10
"864","219935_at",10.9456699930659,7.12016775757513e-19,2.54695720487092e-18
"865","219937_at",-5.52094413551955,2.49648729325569e-07,4.25735506386681e-07
"866","219947_at",10.0245377603721,1.60487403700978e-16,4.89454611685652e-16
"867","219955_at",-10.4771591384711,4.59269121175918e-19,1.67814086997692e-18
"868","219962_at",-1.92455118418706,0.0564895472205594,0.0691330909629708
"869","219970_at",-5.00046898321578,1.98077012930954e-06,3.22956237270809e-06
"870","219985_at",9.21307311034991,4.41760778109499e-14,1.11056773610122e-13
"871","220004_at",-0.754057791942525,0.452158752883069,0.488535674427649
"872","220005_at",6.87046141215334,7.0710370605237e-10,1.36688860349265e-09
"873","220014_at",10.5585620437111,1.17476882906351e-17,3.8349063481796e-17
"874","220026_at",-7.72500229889034,2.7492852030778e-12,6.10907931191887e-12
"875","220030_at",-7.65511866859134,1.8773743866692e-11,3.9590360688575e-11
"876","220037_s_at",8.60409445211288,2.67330349562727e-12,5.95753661107037e-12
"877","220051_at",-1.57997159124876,0.116545979973159,0.137678931588663
"878","220065_at",-1.32232594913245,0.188347141040649,0.215676494340489
"879","220075_s_at",-5.35240485577597,3.92138091793791e-07,6.61193192220588e-07
"880","220092_s_at",11.9529704806417,3.2810528823685e-19,1.2192456220646e-18
"881","220110_s_at",-1.63535308933493,0.104677140468037,0.124329481812696
"882","220122_at",9.65055503530595,2.20448728771105e-16,6.63078592826252e-16
"883","220133_at",3.80499053791544,0.000238411711208932,0.000344022931065858
"884","220177_s_at",-1.34685355028976,0.181259018636916,0.208182713828295
"885","220234_at",-8.10382711321497,3.75088202326253e-13,8.88947426875377e-13
"886","220244_at",8.68528799863644,6.94156631290783e-13,1.6151273594319e-12
"887","220272_at",17.7791652048087,9.60398910231346e-31,1.02823128081412e-29
"888","220301_at",7.12599504031703,3.71739088740469e-10,7.26900880072281e-10
"889","220310_at",-3.21015861242947,0.00166844469292361,0.00229711225257738
"890","220376_at",-7.98459806557156,2.08962429153601e-12,4.69093077762701e-12
"891","220432_s_at",-5.88433553222871,4.53577725645291e-08,8.0280635602652e-08
"892","220446_s_at",-5.41680738346509,3.07809327013225e-07,5.22456851061251e-07
"893","220595_at",8.34057642023594,1.35827411372192e-11,2.87623467234891e-11
"894","220622_at",-13.1346068194386,1.46923297818141e-25,8.99758275838294e-25
"895","220639_at",-3.09811241061424,0.00239254310960244,0.00325309369520544
"896","220645_at",-10.0560213835015,5.53361764390871e-18,1.86607238167935e-17
"897","220723_s_at",-6.5595978657933,1.2762781187586e-09,2.43638628406411e-09
"898","220724_at",-6.25686635579164,6.08173927049746e-09,1.12999306105966e-08
"899","220794_at",4.52674084713311,2.31666054274691e-05,3.53972783527497e-05
"900","220812_s_at",-6.12513760056578,1.04848676613139e-08,1.91784138464415e-08
"901","220834_at",-5.7289655652143,7.7512771132507e-08,1.35625202975849e-07
"902","220979_s_at",14.2196961137576,7.43355335333139e-23,3.59014832301273e-22
"903","221019_s_at",19.9311462831702,8.34082318207042e-34,1.26484138214305e-32
"904","221031_s_at",6.72768691818643,6.47871431066712e-10,1.25555843159891e-09
"905","221132_at",-2.54888708439521,0.0119709458840593,0.0155449687434222
"906","221133_s_at",-1.74390389840465,0.0835871670413239,0.100370159011974
"907","221207_s_at",6.0546904543199,1.91308079786792e-08,3.45392299709409e-08
"908","221276_s_at",17.3031366789148,7.97792643353555e-31,8.60155307728375e-30
"909","221305_s_at",-9.16164477404732,1.42059924272466e-15,3.99071090020451e-15
"910","221491_x_at",5.01210314793878,1.9287919430407e-06,3.15152664332478e-06
"911","221523_s_at",12.4740337492832,5.98252267757719e-23,2.9262754694475e-22
"912","221618_s_at",2.61612035355067,0.0100412462640241,0.0131170205036015
"913","221667_s_at",14.0507151315408,1.29549113379887e-21,5.71584128485898e-21
"914","221690_s_at",-0.0205221231450473,0.983658544115334,0.983658544115334
"915","221728_x_at",0.615757525478774,0.539287002406283,0.56941269012691
"916","221730_at",17.1368250191723,2.45212488354367e-35,4.89736818787811e-34
"917","221747_at",18.0566636493499,1.85292789717177e-30,1.92981810242855e-29
"918","221748_s_at",19.7261672763191,6.29781621896523e-40,3.85678265249431e-38
"919","221795_at",-0.389806799045589,0.697327307034156,0.717478566578826
"920","221796_at",-0.556186047602419,0.579056185281893,0.605556707422526
"921","221874_at",-11.4957577662479,5.08964345000229e-21,2.14662372505606e-20
"922","221900_at",13.6294813953918,1.09660954198307e-22,5.19786132748014e-22
"923","221911_at",8.6515868630453,1.7473908345609e-14,4.49622750876091e-14
"924","221933_at",10.6826829537632,1.52222281986055e-16,4.65174278883533e-16
"925","221942_s_at",16.5862342009538,1.50094724355689e-32,1.89913242139305e-31
"926","221974_at",5.16701700730272,1.12218711450523e-06,1.85938146353626e-06
"927","222043_at",14.8891963253241,4.54345336770518e-24,2.43217730977505e-23
"928","222088_s_at",11.247055107069,1.95725368106127e-19,7.4172163012495e-19
"929","222162_s_at",10.9467620536984,4.31374017254882e-19,1.58758081831063e-18
